Company,Product categories,Company description,Page_URL
Oehler Research Inc.,SHOT -  CampingSHOT -  Pet Supplies/Training EquipmentSHOT -  Reloading,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1026
Oerlikon,Supplier -  MachiningSupplier -  MachinerySupplier -  FabricationSupplier -  Plastics,"Oerlikon AM, is a leading provider of additive manufacturing solutions with metals/polymers. Its offerings range from co-development and contract manufacturing of high-quality and performance-optimized components, through research and development, to the production of the company’s own metal powders for 3Dprinting Oerlikon Balzers, world-leading provider of surface technologies, thin film(PVD) coatings, develops solutions and equipment and offers services to improve the efficiency, longevity, and visual aspects, of precision components and tools for the metal and polymer processing industry (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2039
OffGrid Faraday Gear,Supplier -  FabricsSHOT -  Law Enforcement Products/ServicesSHOT -  Bags/Packs & EquipmentSHOT -  Custom ManufacturingSHOT -  Firearm CasesSHOT -  International Exhibitors,"OffGrid is the leader in Faraday-based technology innovation. We work closely with major government agencies across the globe to provide unique solutions to difficult problems.  We develop high-quality Faraday gear worthy of your daily commute or everyday carry.  Unlike other specialty product companies, OffGrid believes that protecting yourself with Faraday gear doesn't mean you have to make compromises or break your budget- we bring the highest quality products and cutting-edge designs to our customers at an affordable price. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2443
Officer Media Group,SHOT -  Law Enforcement Products/ServicesSHOT -  Hearing Protection,"The Officer Media Group is comprised of OFFICER magazine, Officer.com, and Officer Virtual Academy -- your one stop resource for the latest in news, innovative products, and up-to-the minute tactical, training, investigation command information in the industry. For subscription and advertising information, visit Officer.com. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=445
Ohio Ordnance Works Inc.,SHOT -  FirearmsSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Firearms Maintenance/Cleaning EquipmentSHOT -  International ExhibitorsSHOT -  Law Enforcement Products/ServicesSHOT -  Magazines/Cartridges,"An ISO9001:2015 certified company, OOW has a work force of 100+ employees who work within the company's extensive design, manufacturing, assembly and engineering 70,000 square foot facilities located on 15+ acres in Chardon, Ohio. A technology company with full scale development from the ground up, Ohio Ordnance Works, Inc. is your full-service resource for all facets of the firearms industry. Our company is fully licensed to accommodate all aspects of firearms manufacturing, sales, and distribution of any ordnance commodity both domestic and overseas. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1028
"OIF Exporting, LLC",SHOT -  FirearmsSHOT -  Magazines/CartridgesSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  International ExhibitorsSHOT -  Wholesaler/DistributorSHOT -  Ammunition,"OIF is your boots on the ground U.S. team.  We source product, we talk to manufacturers, and we focus on exporting so you don’t have to.  As your U.S. partner OIF is a one contact to hundreds of U.S. companies.  We don’t have to figure out who to call, because we already have those relationships in place.  Finding product though is just the start. OIF helps you develop an export strategy, warehouses/consolidates orders, and modifies products to make them legal in your market with markings, mag limitations, etc.  Most important, OIF supports you at SHOT to maximize your show and make you money. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1029
Okey Outdoor,Supplier -  FabricsSupplier -  FinishingSupplier -  Packaging,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3381
Old Glory Bank,,"Old Glory Bank is an FDIC-insured, chartered bank that offers the best online and mobile banking solutions. We serve our customers’ banking needs for both their personal and business accounts, in all fifty states, from sea to shining sea. We promote the greatness of America, and we protect financial liberty by enabling our customers to exercise their constitutional rights. Old Glory Bank was co-founded by some of the leading voices supporting freedom and love of country, including Dr. Ben Carson, Larry Elder, and John Rich.  We Stand with You.TM  Member FDIC. Equal Housing Lender.  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3736
Olight,SHOT -  Lighting ProductsSHOT -  Hunting Gear/AccessoriesSHOT -  Law Enforcement Products/Services,"Olight prides itself as a brand that provides high-quality lighting products that have been tried and tested to exceed expectations; including weapon-mounted lights, EDC lights, outdoor lights, tactical lights, ambient lights, headlamps, bike lights, accessories, etc. We're committed to delivering reliable illumination tools and unique experiences to firearm owners, outdoor enthusiasts, adventurers, and everyday users. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3774
"Olympus Arms, Inc.",SHOT -  Firearms,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=881
Omega Tactical Distribution/OTD/MMC,SHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Firearm Grips/StocksSHOT -  FirearmsSHOT -  Magazines/CartridgesSHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Hunting Gear/Accessories,"Omega Tactical Distribution is the best supplemental distributor with an emphasis of serving new shops, huge shops, and everyone in-between, we strive for fast delivery of product and provide personalized experienced via our dedicated sales team and great offers online. Sign up to be a dealer for free to day with no additional charges or mandatory order minimums. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=938
OmniPROTEX,"SHOT -  Law Enforcement Products/ServicesSHOT -  Custom ManufacturingSHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Training and Safety Equipment","AMIR TAYYEBI Inc. DBA: OmniPROTEX® was founded in 2020. OmniPROTEX® is a high-tech enterprise specializing in the research, development, production, and sales of body armor, based in Atlanta, GA. We are extensively invested in developing advanced ballistic materials primarily for high-velocity projectiles and safety beyond standards for combat situations. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2788
Oneida Molded Plastics,Supplier -  PackagingSupplier -  StampingSupplier -  PlasticsSupplier -  OE materials,"Oneida Molded Plastics is a specialist supplier focusing on the outdoor recreational products industry. We make it easy for our customers to develop & produce great products by leveraging the latest technology and training to drive our collaborative Product Development Process. Combining OMP’s commitment to improving the customer experience along with additional value add services such as hydrographic decoration, product assembly and a flexible manufacturing environment, we develop and produce the highest quality engineered product solutions to satisfy your needs, on-time, every time! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2040
OneShot,Supplier -  SoftwareSupplier -  Services,"OneShot, powered by SAP Business One is uniquely positioned to help companies in the firearm and outdoor industries with their business software needs. In edition to the cutting edge and award-winning ERP systems from SAP, OneShot adds FFL management functionality with industry experts on staff that have decades of experience in the shooting, hunting, and outdoor industries. Whether you are a company just starting out or an established organization with decades of history and multiple divisions / companies under your umbrella, OneShot and SAP can help. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2182
Ontario Knife,SHOT -  Cutlery/Sharpeners/Knives/Accessories,"Founded in 1889 and based in western New York, Ontario Knife Company is a full range knife and edged tool manufacturer. OKC produces tactical/military knives, hunting/survival knives, strap cutters, axes, machetes, industrial tools, housewares, and cutlery.  A proud made-in-the-USA manufacturer for over 125 years, OKC has been a major supplier of knives and tools to the U.S. military since World War II. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1034
Onyx Armor,SHOT -  Hearing Protection,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1035
Open Doors to Future Possibilities,SHOT,"Our mission is to provide both active & retired law enforcement officers and active duty military members & Veterans with a holistic approach to their wellbeing and health that considers the entire person rather than defining them with their symptoms. This holistic approach includes their physical, emotional, social, and spiritual wellbeing and explores the unique ways each of these individuals make sense of and give meaning to all that they have witnessed and/or engaged in. These services are free-of-charge for law enforcement officers, Military, Veterans and their families. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3223
OperatorXR,Supplier -  SoftwareSHOT -  Law Enforcement Products/ServicesSHOT -  Training and Safety Equipment,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3599
Ops-Core,"SHOT - Communications/Electronics/GPS
SHOT - Hearing Protection
SHOT","Ops-Core is today’s preferred brand of helmet systems for special operations forces, SWAT teams and other elite emergency response personnel. With industry-leading protection and a unique modular, scalable design, helmet system components seamlessly integrate to deliver true system-level performance. Introduced in 2005, Ops-Core is part of Gentex Corporation’s comprehensive line of helmet systems for ground forces, which also includes Gentex helmet systems. View Ops-Core products at www.ops-core.com and the full ground portfolio in our booth and online at www.gentexcorp.com. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=550
OPSMEN Tech,,"Guangzhou OPSMEN TechCo., Ltd. has a professional optical and acoustic laboratory and automated production line. We have ten years of development experience and were formally established in 2016. The company's headquarters is located in Guangzhou City, and the factory is located in Foshan City. Total area of two places over 1,000㎡ and about 42 employees. With high-quality products and constantly developing high-tech, OPSMEN has participated in many large military exhibitions, search and hunt exhibitions, gun exhibitions and labor insurance exhibitions in the world. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3335
OpticGard,SHOT -  Retailer Services,"OpticGard ® specializes in the design and manufacture of high-quality firearm accessories and welcome OEM, ODM, and private label. Our products are stylish and innovative, unlike any other manufacturer. All products are designed in the USA and are rigorously-inspected during our multiple-step quality control process. Our in-house design team introduces and maintains proprietary designs for a wide and firearm industry. We understand how important satisfied customers are to our continued growth. We strive to stay ahead of our competition and produce the most up to date models for accuracy. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3347
Optics Planet,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3983
Optimum Arms,SHOT -  FirearmsSHOT -  Law Enforcement Products/ServicesSHOT -  Custom ManufacturingSHOT -  Firearm Barrels/Parts/Gunsmithing,"Optimum Arms offers high quality and reliable firearms&accessories. We offer wide range of shotgun models and 3 special patented products; Tactical Mag-Fed(AR 15 Platform)with special design of locking bar and cap that prevents shells from jamming, Pump Action and Semi-Auto Models with special folding design for easy storage&transport. We have clone product of Benelli M2 and similar product of Benelli M4 for great price/performance ratio. A product must be of good quality, performance and of reasonable price for the shooters to be favorite and this is what we offer with our brand/products.

  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3664
"Optisan USA, Inc.","SHOT - Binoculars/Telescopes
SHOT - Scopes/Sights/Telescopes/Accessories
SHOT","Optisan Optics, crafting elite binoculars since '98. Our swift logo embodies precision, durability, and agility. Committed to elevating experiences for precision shooters and bird watchers, our optics offer vivid clarity. Immerse in nature's wonders with our quality equipment. We actively engage in conservation, striving to bridge people and nature, fostering harmony in collaboration with precision shooters and bird watchers. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1036
Optowell,Supplier -  Metal extrusions,Optowell has been walking through VCSEL technology development until now producing semiconductor devices based on outstanding technology of red RCLED for point source device such as red dot sight and holo sight. Optowell provide not only single dot but also reticle dots for many kinds of point source devices. (less),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2423
Oracle America Inc.,Supplier -  Software,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=4108
Oracle Arms,SHOT -  Firearms,"Laugo Arms is proud to host Ian McCollum, creator and host of the Forgotten Weapons YouTube channel, at Booth 70143 for an exclusive meet & greet and Q&A experience.Ian has spent quite a bit of time with Alien pistols over the years and we're excited to have him share his knowledge and experience with booth visitors on Wednesday from 10-11am. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2440
Orange koi,Supplier -  FabricationSHOT -  Firearm Barrels/Parts/GunsmithingSupplier -  MetalsSupplier -  Metal extrusions,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2384
Orchid,"SHOT - Magazines/Cartridges
SHOT - Firearm Grips/Stocks
SHOT - Shooting Range Equipment
SHOT - Gunsmith Tools
SHOT - Retailer Services
SHOT","Orchid LLC and its family of companies, including partner firm, FFL Law, have been offering business software, firearms-friendly payments and legal and regulatory services to the shooting sports industry for over a decade. With powerful POS, eCommerce, ERP and Bound Book solutions, as well as expert knowledge of ATF, import/export and state-level regulations, Orchid helps FFLs profitably manufacture, distribute and sell firearms with great efficiency and the utmost compliance. Get started today at orchidadvisors.com. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1037
Original Footwear Co.,"SHOT -  FirearmsSHOT -  Hearing ProtectionSHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Shooting Range EquipmentSHOT -  Pet Supplies/Training Equipment","We design and build high-quality footwear that law enforcement officers, military operators, first responders and other uniformed professionals can trust in every critical situation. Our unwavering respect for our customers’ hard-earned pay and high standards for performance drives us to deliver honest products that we are proud to stand behind. The Original Footwear Company is proud to make Altama® combat boots, Original S.W.A.T.® tactical boots and Smith & Wesson Footwear®. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1039
Original S.W.A.T,"SHOT -  FirearmsSHOT -  Hearing ProtectionSHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Shooting Range EquipmentSHOT -  Pet Supplies/Training Equipment","We design and build high-quality footwear that law enforcement officers, military operators, first responders and other uniformed professionals can trust in every critical situation. Our unwavering respect for our customers’ hard-earned pay and high standards for performance drives us to deliver honest products that we are proud to stand behind. The Original Footwear Company is proud to make Altama® combat boots, Original S.W.A.T.® tactical boots and Smith & Wesson Footwear®. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1040
Orion Wholesale,SHOT -  FirearmsSHOT -  AmmunitionSHOT -  Retailer Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1041
ORSAV,Supplier -  Machining,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3569
OSAAP America,Supplier -  LogisticsSupplier -  Packaging,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3310
OsmaR,"SHOT -  Apparel, Men'sSHOT -  Bags/Packs & EquipmentSHOT -  Custom ManufacturingSupplier -  FabricationSupplier -  Metal extrusions",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3057
Otis Technology,SHOT -  Hearing ProtectionSHOT -  Firearms Maintenance/Cleaning EquipmentSHOT -  Hunting Gear/AccessoriesSHOT -  Custom Manufacturing,"Otis Technology is the industry leader in firearms cleaning systems and accessories and is known for manufacturing the most advanced gun cleaning systems available. The superior breech-to-muzzle design, combined with unmatched USA-made quality, has positioned Otis as the gun care system of choice for the U.S. military, hunters, shooters and law enforcement personnel worldwide. Otis Technology is AMERICA'S GUN CARE. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1044
Otte Gear,"SHOT -  Apparel, Men'sSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Shooting Range EquipmentSHOT -  Communications/Electronics/GPS","OTTE Gear is designed for folks going light, fast and hard. Our product offering is tight because we are focused. Using the most innovative materials available, we design products capable of handling extremely demanding situations with the least amount of weight or disruption. Our equipment is designed to have everything you need and nothing you don't. We constantly look to provide our customer with unique lifestyle items too like our collectible from ABxOG Aloha shirts. Our unique background and POV means we also pay close attention to fit and styling. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1045
OtterText,Supplier -  ServicesSupplier -  SoftwareSHOT -  Scents/Lures,"Otter Technologies offers comprehensive solutions for retail, ranges, and e-commerce businesses in the firearms sector. Services include text marketing, chargeback protection, reviews management, digital waivers, and customer rewards systems. Seamlessly integrate customer data into your POS platform, creating automated text campaigns for rewards and reviews. Engage in two-way communication, leverage SMS automation, and experience personalized support. Unlock the full potential of your firearms business with OtterText's innovative and user-friendly tools. Drive growth and success with OtterText (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3630
OTTO Engineering,SHOT -  Hearing ProtectionSHOT -  Law Enforcement Products/ServicesSHOT -  Communications/Electronics/GPS,"OTTO Engineering designs & manufactures innovative spatial audio push-to-talk hubs, tactical ear-pro, battle tested navigation systems, speaker mics, covert surveillance kits, & wireless intercoms. Mission critical communication equipment for Military; SWAT; LEO; Executive Protection; Covert Operators; Fire & Rescue. For over 60 years OTTO’s products have been recognized for excellence in the most demanding environments worldwide. www.otto-comm.com (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1046
Outdoor Cap Co.,"SHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Communications/Electronics/GPSSHOT -  Game Calls","At Outdoor Cap, we have served the needs of the headwear industry for over 40 years. Established in 1977, we have grown to over 350 employees. We serve 14,000 customers across multiple channels in the team, promotional products, hunting/fishing, and retail markets. We have established ourselves as one of the largest and most respected headwear suppliers in the United States by combining work ethic and integrity with innovative resources and processes. We strive to offer exceptional customer service throughout every step of the buying process. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1047
Outdoor Edge Cutlery,SHOT -  Cutlery/Sharpeners/Knives/AccessoriesSHOT -  CampingSHOT -  Hunting Gear/Accessories,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1048
Outdoor Research,"SHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Bags/Packs & Equipment",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1049
Outdoor Sportsman Group,SHOT -  Media/Publication,"Outdoor Sportsman Group (OSG) is comprised of the world’s foremost media and entertainment brands for outdoor adventure enthusiasts. It includes three leading multichannel networks: Outdoor Channel, Sportsman Channel and World Fishing Network, as well as MOTV, the world’s leading subscription outdoor television content platform. The group also consists of various integrated media assets: 15 outdoor magazines, including Guns & Ammo, Petersens Bowhunting and FL Sportsman, and 19 top websites, including BassFan.com. Additionally, OSG includes the television production operations Winnercomm. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1050
Outdoor Technology Limited,"SHOT -  Cameras/EquipmentSHOT -  Hunting Gear/AccessoriesSHOT -  Apparel, Men's","Guangdong Outdoor Technology Limited is a leading designer, developer, and manufacturer of consumer products in the outdoor sports and recreation market. We serve this market for over 16 years with our strong R&D team and innovative technology. We provide high quality products such as digital camera, sport action camera, trail camera, IP security camera, laser rangefinder, golf rangefinder, metal detector, feeder with power control unit and smart heated garment, etc. We serve our customers with our greatest enthusiasm based on our “integrity first and customer satisfaction"" (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=593
OUTERWILD Inc.,Supplier -  MachiningSupplier -  Services,"OUTERWILD, formerly DRG Manufacturing is a total solution manufacturing facility with a core focus on the firearms industry. We feature the latest technologies in automated and robot-assisted CNC manufacturing on our large collection of double/ triple turret lathes, horizontal, vertical, and 5-axis machining centers. We have fully automated high-precision gun drilling and rifling capability in-house. Multiple CMMs and vision inspection systems, as well as a robust QC process. Known for our core components include Bolt Carrier Groups, Precision Barrels, Billet Uppers & Lowers and Handguards. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2512
Outstandards,SHOT -  Magazines/CartridgesSHOT -  CampingSHOT -  Bags/Packs & Equipment,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1051
Owens Products Inc.,"SHOT -  Hunting Gear/AccessoriesSHOT -  Custom ManufacturingSHOT -  Law Enforcement Products/ServicesSHOT -  Pet Supplies/Training EquipmentSHOT -  Vehicles, Utility & Recreation","Owens Products fabricates aluminum &mild steel products. We also do thermo-forming and injection molding of plastic and we offer a full fiberglass department. We are proud to offer products for the automotive aftermarket, hunting industry, police and military working dogs, trailer industry and medium duty truck segment that are all built with pride in the USA. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1052
OXO Tactical,"SHOT -  Law Enforcement Products/ServicesSHOT -  Survival Kits/First AidSHOT -  Apparel, Men'sSHOT -  Custom Manufacturing",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2444
P6 Products,Supplier -  MachinerySupplier -  Plastics,"P6 Products is a family owned company located in Kentucky. We know the importance of honesty, integrity, and quality and strive to serve our customers with all of those in mind. Let P6 Products be your one stop shop for all your manufacturing needs. We provide an array of products and services including those requiring a Type 7 FFL with a Class 2 SOT. Let P6 Products go to work for you for all of your manufacturing needs. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2046
PACECAT,"Supplier
SHOT - Communications/Electronics/GPS","Lanhai, founded in 2006, has been dedicated to the research and application of pulsed laser ranging.  On the basis of independence, through the study and absorption of foreign research results, established a complete system of development, production and sales.  Now we provide ODM services for laser range finder for the European and American mainstream brand companies.  Our sales volume keeps ahead in the world. The company also through continuous efforts has developed a domestic leading handheld dual camera laser speed gun and laser senor with centimeter precision. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3459
Pacific Tool & Gauge,Supplier -  StampingSHOT -  Communications/Electronics/GPSSupplier -  PlasticsSHOT -  Firearm LocksSHOT -  Firearm Grips/StocksSupplier -  Machinery,"Pacific Tool and Gauge is a manufacturing facility of Chamber Reamers, Cutting Tool's, Headspacew Gauges, Actions and replacement firearms parts. All of our products are made here in the USA, and we offer a large variety of products for your bolt action rifle, Pistol and Shotgun needs, even some AR rifle products — we have everything you need! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1056
Pack'n Heat Products,"SHOT -  Apparel, Women'sSHOT -  Firearm Cabinets/Racks/SafesSHOT -  Bags/Packs & EquipmentSHOT -  EyewearSHOT -  Hearing Protection","Pack'N Heat is more than a brand; we're a movement reshaping shooting sports. Founded by avid shooters, we champion inclusivity, innovative style, and unwavering support for all enthusiasts. 

Our signature Chrome and Crystal-Embellished Ear Protection redefine safety with personalized flair. Explore meticulously crafted apparel, jewlery, range bags, and more, elevating your range experience.

Join our mission to empower and celebrate shooters, where safety meets style. Experience a community where fabulous safety is your signature statement. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1057
Pacwell Manufacturing,Supplier -  PackagingSupplier -  Machinery,"We design, create, and warehouse most forms of retail packaging solutions, including - but not limited too - blister packaging machines, Clamshell sealing machines, blister cards, blisters, clamshells, boxes, bags, jars and more. If your product is sold in a retail environment, chances are we can improve your packaging while lowering your cost. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=4045
PAIHO North America,Supplier -  FabricsSupplier -  FabricationSupplier -  OE materialsSupplier -  Packaging,"PAIHO® Group specializes in the manufacturing and distribution of the highest quality Hook & Loop fasteners, elastics, webbings, mesh fabrics and other related products, for over 40 years. Through our manufacturing capabilities, value-added services, and commitment to delivering the best customer experience – we are dedicated to providing you with the best products and services. Our market segments include Transportation (Automotive & Aerospace), Medical, Tactical, Cable Management, Resale/Distribution, Apparel/Footwear, and Graphics/Packaging. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2973
Palmetto State Armory,SHOT -  FirearmsSHOT -  Ammunition,"Palmetto State Armory has come a long way from our humble beginnings as an ammunition and magazine company. Palmetto State Armory now boasts a website that sees hundreds of thousands of unique visitors a day, retail stores through out the South East, indoor and outdoor shooting ranges used as educational resources for new shooters and those working to better their skills, as well as our very own line of firearms that carry a 100% lifetime warranty. We also support numerous sister companies such as DPMS, H&R, Leadstar Arms, AAC Ammunition, Caliber Coffee, Right To Bear and more! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1058
Panaro Srl,Supplier -  OE materialsSupplier -  PackagingSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Firearm Barrels/Parts/Gunsmithing,"Panaro started operation in 1962 producing tackle boxes in a small workshop. The company then expanded its product range and entered the hardware, packaging, equestrian and thermoforming market. Panaro has grown from a small family workshop to become a leading producer and worldwide exporter, with a work force of over eighty. Panaro is constantly committed to maintaining a high quality level of production and complying to all protocols. We strive to be at the cutting edge and provide a wide product range so as to meet our clients’ ever changing needs. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1094
Panther Wholesale,"SHOT - Crossbows & Accessories
SHOT","Panther Wholesale has been in the Tactical, Hunting knives and outdoor products field for over 2 decades. We carry a full line of hunting and tactical folding knives and fixed blades. Panther also has number of in house brands like Red Deer® Knives (hunting knife line), Shadow Ops® and Covert Ops® USA (Tactical & Military knives Lines). In addition, we offer private label for retail stores who want to show case their own brands. We also carry a full line of self defense products like cat key chains, Kubatons, and world famous Brutus® Self Defense Key chains. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1061
Panzer Arms USA,SHOT -  Law Enforcement Products/ServicesSHOT -  FirearmsSHOT -  Ammunition,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1063
PAPPYDON Hunting Products,SHOT,New hunting products for archery and other choices.  We will have a new ladder stand camo cover. New innovation on hunting ground blinds-multi or universal use different from standard blinds.  New high quality hunting dartboards.  Multiple animal choices.  Two of our products are designed to better conceal archery hunters along with gun hunters. (less),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=4055
Paradigm Tactical Systems,SHOT -  Airgun/Airsoft ProductsSHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Law Enforcement Products/Services,"Paradigm Tactical Systems is a manufacturer of next generation less than lethal solutions for law enforcement and home defense. Our American machined and assembled pneumatic weapons can be found in long gun, or bullpup formats. Paradigm weapons provide long range precision (100+ yards), yet non-lethal at point blank engagements. Our technology is protected by multiple US patents, which allows our products to hold an industry dominating eight inch group at 100 yards. Impressive for a 44 grain powder filled plastic projectile traveling 350 fps. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3773
Paragon Laser Systems,Supplier -  MachinerySupplier -  Finishing,"Paragon Laser Systems utilizes state-of-the-art fiber laser technology to provide manufacturers and suppliers of firearms and accessories the ability to permanently mark their products with unique identification information. Markings can be deep engraved serial numbers far exceeding ATF depth requirements or surface etched with text, logos, graphics, and barcodes. Contact us today and learn how Paragon Laser Systems can provide you with an affordable solution for your laser marking needs. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3514
PARD,SHOT -  Retailer Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2399
